track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,predicted_genre_id,predicted_genre
6Fz2TpxUD0YvAPsuG8nDMJ,MAPA,3g7vYcdDXnqnDKYFwqXBJP,SB19,4Qhx57hNp0CUmUbO2igtAq,275420,16/05/2021,64,0.561,0.651,9,-4.862,1,0.0689,0.309,0,0.378,0.355,129.957,275420,2,jazz
1o6uF8VmXna99ysHTcQRI2,GENTO,3g7vYcdDXnqnDKYFwqXBJP,SB19,3cxdpO2eZx2VT2OWyca18o,232621,19/05/2023,72,0.799,0.701,1,-3.604,1,0.0826,0.0293,3.33E-05,0.187,0.283,95.019,232622,3,rap
0QQoU68nnBRWJqr9ak3mnS,MAPA (Band Version),3g7vYcdDXnqnDKYFwqXBJP,SB19,63OIQhMqDpmCRZO0d8Phfu,270411,27/06/2021,55,0.552,0.394,6,-10.784,0,0.0326,0.419,0,0.387,0.487,126.915,270411,4,rock
5QZw4F3N3PvuKNKHm9L20b,Bazinga,3g7vYcdDXnqnDKYFwqXBJP,SB19,4bieHSYaRSMRAoDF47qfSf,202506,22/07/2021,60,0.869,0.922,9,-1.452,1,0.0953,0.206,0,0.831,0.388,115.034,202507,0,r&b
1z50Hub2XCsAPWo8zgoePu,WYAT (Where You At),3g7vYcdDXnqnDKYFwqXBJP,SB19,2KNLbEBtNGRbVGXH74zOcW,218461,02/09/2022,60,0.778,0.79,0,-5.179,0,0.067,0.185,0,0.127,0.783,116.986,218462,0,r&b
16GGH8OF6LiSUTTbm8421f,I WANT YOU,3g7vYcdDXnqnDKYFwqXBJP,SB19,7svCelXfTenSbzFXKj3zGF,223339,09/06/2023,66,0.674,0.681,1,-3.6,1,0.0464,0.229,0,0.0436,0.683,127.942,223340,2,jazz
2WUhR1SraSy0SVIQKohJb6,Hanggang Sa Huli,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,254469,31/07/2020,60,0.539,0.553,2,-4.338,1,0.0276,0.702,0,0.205,0.192,132.045,254469,4,rock
5Gm6YoDs8N2WznOpASSB5P,Go Up,3g7vYcdDXnqnDKYFwqXBJP,SB19,7cnW5rl7F9OkVxqbcJPNCq,189100,19/07/2019,0,0.704,0.944,0,-2.308,0,0.042,0.423,0,0.132,0.913,125.996,189100,4,rock
4sYZHEiueAYM5klpUbVNyk,What?,3g7vYcdDXnqnDKYFwqXBJP,SB19,18g914rk7rcJP0o4uhz8uE,270192,09/03/2021,56,0.561,0.856,6,-3.71,0,0.19,0.0575,0,0.0728,0.507,95.975,270192,2,jazz
3fNpKcMrEDrnjahY9kN5fQ,Alab (Burning),3g7vYcdDXnqnDKYFwqXBJP,SB19,3twC225hfx6FrfrGAO3zvF,182750,25/12/2019,45,0.715,0.927,0,-2.12,1,0.0604,0.0176,0,0.34,0.792,119.974,182750,0,r&b
0AbJoAxuqYgMrmXvtFOc0K,SLMT,3g7vYcdDXnqnDKYFwqXBJP,SB19,4bieHSYaRSMRAoDF47qfSf,199013,22/07/2021,55,0.838,0.787,10,-2.956,1,0.23,0.269,0,0.122,0.706,90.514,199013,3,rap
0EtkP3TUHvTeDIgrpgMS8m,Mana,3g7vYcdDXnqnDKYFwqXBJP,SB19,4bieHSYaRSMRAoDF47qfSf,243676,22/07/2021,57,0.69,0.687,1,-6.164,1,0.0666,0.0267,0.00195,0.35,0.191,102.019,243676,0,r&b
5qHUmt5jIvDaOzMXiX533o,Ikako,3g7vYcdDXnqnDKYFwqXBJP,SB19,4bieHSYaRSMRAoDF47qfSf,259565,22/07/2021,53,0.595,0.715,1,-6.812,0,0.0365,0.0247,0,0.0684,0.213,92,259565,4,rock
4zoqT3f80GyytJvnhVHgEl,ILAW,3g7vYcdDXnqnDKYFwqXBJP,SB19,7svCelXfTenSbzFXKj3zGF,292929,09/06/2023,61,0.62,0.536,5,-3.5,1,0.033,0.759,0,0.132,0.383,131.958,292930,4,rock
5GcS9zT4iIL7l0JrqZeG6O,CRIMZONE,3g7vYcdDXnqnDKYFwqXBJP,SB19,7svCelXfTenSbzFXKj3zGF,229384,09/06/2023,63,0.849,0.866,10,-2.265,0,0.0434,0.021,6.80E-06,0.276,0.553,129.989,229385,0,r&b
6aLjE6peuaJQRWRgfjxrRw,Nyebe,3g7vYcdDXnqnDKYFwqXBJP,SB19,2tvPG66C3mOLIHEdxPzC0F,346849,12/12/2022,56,0.486,0.655,9,-6.338,1,0.0368,0.0943,0,0.111,0.398,146.048,346849,4,rock
6KawczP7xc6xQRIpOqvpey,Tilaluha,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,237428,31/07/2020,57,0.463,0.456,0,-6.846,0,0.0279,0.826,0.000102,0.144,0.218,139.736,237429,4,rock
5p70OUKixtLRpnK5uSdqro,Love Goes,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,221544,31/07/2020,52,0.714,0.663,0,-5.596,1,0.102,0.196,0,0.486,0.681,89.984,221544,2,jazz
0LAh3hfeuUekvLm3Nq6MmA,Love Goes - EDM Version,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,215000,31/07/2020,46,0.718,0.78,9,-4.142,0,0.0557,0.103,0,0.354,0.762,94.977,215000,2,jazz
